Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
FABER CREST,"1,860,000","1,453.14","1,280",Mar-26,FABER HEIGHTS,Resale,Strata,135,"13,778",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,588,888",775.01,"2,050",Mar-26,SOUTH BUONA VISTA ROAD,Resale,Strata,72,"22,068",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
HORIZON RESIDENCES,"2,530,000","1,323.97","1,911",Mar-26,PASIR PANJANG HILL,Resale,Strata,123,"20,569",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,175,000",645.84,"1,819",Mar-26,NORMANTON PARK,Resale,Strata,60,"19,583",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
CLAVON,"1,650,000",764.24,"2,159",Mar-26,CLEMENTI AVENUE 1,Resale,Strata,71,"23,239",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
ONE-NORTH RESIDENCES,"1,630,000","1,280.92","1,273",Mar-26,ONE-NORTH GATEWAY,Resale,Strata,119,"13,697",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
THE ROCHESTER RESIDENCES,"2,160,000","1,205.57","1,792",Mar-26,ROCHESTER DRIVE,Resale,Strata,112,"19,286",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,16 to 20
THE TRILINQ,"1,780,000","1,108.69","1,605",Mar-26,JALAN LEMPENG,Resale,Strata,103,"17,282",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
FABER CREST,"1,750,000","1,356.26","1,290",Mar-26,FABER HEIGHTS,Resale,Strata,126,"13,889",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
THE CLEMENT CANOPY,"1,440,000",710.42,"2,027",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,66,"21,818",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,16 to 20
PARC CLEMATIS,"1,610,000",710.42,"2,266",Feb-26,JALAN LEMPENG,Resale,Strata,66,"24,394",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
NORMANTON PARK,"1,468,000",721.19,"2,036",Feb-26,NORMANTON PARK,Resale,Strata,67,"21,910",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,365,000",688.9,"1,981",Feb-26,NORMANTON PARK,Resale,Strata,64,"21,328",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"915,888",495.14,"1,850",Feb-26,NORMANTON PARK,Resale,Strata,46,"19,911",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
REGENT PARK,"1,300,000",958,"1,357",Feb-26,JALAN LEMPENG,Resale,Strata,89,"14,607",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
SEAHILL,"800,000",516.67,"1,548",Feb-26,WEST COAST CRESCENT,Resale,Strata,48,"16,667",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,16 to 20
BOTANNIA,"2,246,888","1,270.15","1,769",Feb-26,WEST COAST PARK,Resale,Strata,118,"19,041",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
WATERFRONT @ FABER,"1,990,000","1,280.92","1,554",Feb-26,FABER WALK,Resale,Strata,119,"16,723",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
PASIR VIEW PARK,"2,060,000","1,334.74","1,543",Feb-26,PASIR PANJANG ROAD,Resale,Strata,124,"16,613",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
BOTANNIA,"4,579,888","2,637.18","1,737",Feb-26,WEST COAST PARK,Resale,Strata,245,"18,693",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
NORMANTON PARK,"1,502,888",731.95,"2,053",Feb-26,NORMANTON PARK,Resale,Strata,68,"22,101",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
REGENT PARK,"1,230,000",904.18,"1,360",Feb-26,JALAN LEMPENG,Resale,Strata,84,"14,643",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
ONE-NORTH RESIDENCES,"1,800,000",979.52,"1,838",Feb-26,ONE-NORTH GATEWAY,Resale,Strata,91,"19,780",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
CLAVON,"2,139,999",958,"2,234",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,89,"24,045",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
HERITAGE VIEW,"1,550,000",968.76,"1,600",Feb-26,DOVER RISE,Resale,Strata,90,"17,222",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
THE PARC CONDOMINIUM,"2,610,000","1,302.44","2,004",Feb-26,WEST COAST WALK,Resale,Strata,121,"21,570",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
WHITEHAVEN,"1,800,000","1,001.05","1,798",Feb-26,PASIR PANJANG ROAD,Resale,Strata,93,"19,355",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"3,095,000","1,356.26","2,282",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,126,"24,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
PARC CLEMATIS,"2,050,000",968.76,"2,116",Feb-26,JALAN LEMPENG,Resale,Strata,90,"22,778",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
TWIN VEW,"1,720,000",904.18,"1,902",Feb-26,WEST COAST VALE,Resale,Strata,84,"20,476",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,06 to 10
THE CLEMENT CANOPY,"2,370,000","1,108.69","2,138",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,103,"23,010",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,21 to 25
RESIDENTIAL APARTMENTS,"2,018,888","1,474.67","1,369",Feb-26,PASIR PANJANG ROAD,Resale,Strata,137,"14,736",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"3,000,000","1,356.26","2,212",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,126,"23,810",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
NORMANTON PARK,"2,250,000","1,065.64","2,111",Feb-26,NORMANTON PARK,Resale,Strata,99,"22,727",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
BOTANNIA,"1,608,000",904.18,"1,778",Feb-26,WEST COAST PARK,Resale,Strata,84,"19,143",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
NORMANTON PARK,"1,200,000",635.08,"1,890",Feb-26,NORMANTON PARK,Resale,Strata,59,"20,339",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
THE PARC CONDOMINIUM,"1,250,000",667.37,"1,873",Feb-26,WEST COAST WALK,Resale,Strata,62,"20,161",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
ISLAND VIEW,"4,880,000","3,595.18","1,357",Feb-26,JALAN MAT JAMBOL,Resale,Strata,334,"14,611",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,518,888",764.24,"1,987",Feb-26,NORMANTON PARK,Resale,Strata,71,"21,393",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
PARC CLEMATIS,"1,608,000",721.19,"2,230",Feb-26,JALAN LEMPENG,Resale,Strata,67,"24,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
WESTCOVE CONDOMINIUM,"1,242,500","1,097.93","1,132",Feb-26,WEST COAST CRESCENT,Resale,Strata,102,"12,181",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
TWIN VEW,"2,255,000","1,140.98","1,976",Feb-26,WEST COAST VALE,Resale,Strata,106,"21,274",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
VILLA DE WEST,"2,560,000","1,797.59","1,424",Feb-26,PASIR PANJANG ROAD,Resale,Strata,167,"15,329",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PALM MANSIONS,"1,395,000",979.52,"1,424",Feb-26,PASIR PANJANG ROAD,Resale,Strata,91,"15,330",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
PARC RIVIERA,"1,850,000",990.29,"1,868",Feb-26,WEST COAST VALE,Resale,Strata,92,"20,109",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
WESTCOVE CONDOMINIUM,"1,650,000","1,517.72","1,087",Feb-26,WEST COAST CRESCENT,Resale,Strata,141,"11,702",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
NORMANTON PARK,"2,587,000","1,194.8","2,165",Feb-26,NORMANTON PARK,Resale,Strata,111,"23,306",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
BOTANNIA,"2,280,000","1,270.15","1,795",Feb-26,WEST COAST PARK,Resale,Strata,118,"19,322",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
NORMANTON PARK,"2,168,000","1,087.16","1,994",Feb-26,NORMANTON PARK,Resale,Strata,101,"21,465",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,500,000",721.19,"2,080",Feb-26,NORMANTON PARK,Resale,Strata,67,"22,388",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
BOTANNIA,"2,348,000","1,248.62","1,880",Feb-26,WEST COAST PARK,Resale,Strata,116,"20,241",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
WHISTLER GRAND,"2,035,000",958,"2,124",Feb-26,WEST COAST VALE,Resale,Strata,89,"22,865",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
CARABELLE,"1,800,000",947.23,"1,900",Feb-26,WEST COAST WAY,Resale,Strata,88,"20,455",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE TRILINQ,"1,835,000","1,108.69","1,655",Feb-26,JALAN LEMPENG,Resale,Strata,103,"17,816",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
THE TRILINQ,"2,360,000","1,356.26","1,740",Feb-26,JALAN LEMPENG,Resale,Strata,126,"18,730",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
MONTEREY PARK CONDOMINIUM,"2,560,000","1,420.85","1,802",Feb-26,WEST COAST RISE,Resale,Strata,132,"19,394",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,06 to 10
PARC RIVIERA,"1,810,000",990.29,"1,828",Feb-26,WEST COAST VALE,Resale,Strata,92,"19,674",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
THE CLEMENT CANOPY,"1,248,000",635.08,"1,965",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,59,"21,153",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,21 to 25
NORMANTON PARK,"1,518,000",731.95,"2,074",Feb-26,NORMANTON PARK,Resale,Strata,68,"22,324",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
CLAVON,"1,530,000",764.24,"2,002",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,71,"21,549",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
NORMANTON PARK,"965,000",516.67,"1,868",Feb-26,NORMANTON PARK,Resale,Strata,48,"20,104",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
THE TRILINQ,"1,780,000","1,108.69","1,605",Feb-26,JALAN LEMPENG,Resale,Strata,103,"17,282",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
THE TRILINQ,"1,880,000",914.94,"2,055",Feb-26,JALAN LEMPENG,Resale,Strata,85,"22,118",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
THE PARC CONDOMINIUM,"2,880,000","1,420.85","2,027",Feb-26,WEST COAST WALK,Resale,Strata,132,"21,818",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
TWIN VEW,"830,000",484.38,"1,714",Feb-26,WEST COAST VALE,Resale,Strata,45,"18,444",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
SEAHILL,"845,000",548.96,"1,539",Feb-26,WEST COAST CRESCENT,Resale,Strata,51,"16,569",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
SEAHILL,"916,000",624.31,"1,467",Feb-26,WEST COAST CRESCENT,Resale,Strata,58,"15,793",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,06 to 10
BOTANNIA,"2,300,000","1,259.39","1,826",Feb-26,WEST COAST PARK,Resale,Strata,117,"19,658",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE TRILINQ,"1,318,000",710.42,"1,855",Feb-26,JALAN LEMPENG,Resale,Strata,66,"19,970",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
NORMANTON PARK,"882,000",495.14,"1,781",Feb-26,NORMANTON PARK,Sub Sale,Strata,46,"19,174",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
PARC RIVIERA,"1,900,000","1,151.75","1,650",Feb-26,WEST COAST VALE,Resale,Strata,107,"17,757",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
PARC CLEMATIS,"1,652,000",721.19,"2,291",Feb-26,JALAN LEMPENG,Resale,Strata,67,"24,657",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
THE PARC CONDOMINIUM,"1,881,000",979.52,"1,920",Feb-26,WEST COAST WALK,Resale,Strata,91,"20,670",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
BOTANNIA,"2,268,000","1,227.1","1,848",Feb-26,WEST COAST PARK,Resale,Strata,114,"19,895",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
THE PARC CONDOMINIUM,"2,500,000","1,302.44","1,919",Feb-26,WEST COAST WALK,Resale,Strata,121,"20,661",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
NORMANTON PARK,"1,890,000",968.76,"1,951",Feb-26,NORMANTON PARK,Sub Sale,Strata,90,"21,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
SEAHILL,"1,500,000",861.12,"1,742",Feb-26,WEST COAST CRESCENT,Resale,Strata,80,"18,750",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,21 to 25
THE TRILINQ,"1,420,000",753.48,"1,885",Feb-26,JALAN LEMPENG,Resale,Strata,70,"20,286",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
THE MAYLEA,"1,850,000","1,151.75","1,606",Feb-26,PASIR PANJANG ROAD,Resale,Strata,107,"17,290",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,860,000",914.94,"2,033",Jan-26,JALAN LEMPENG,Resale,Strata,85,"21,882",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
CLAVON,"1,730,000",764.24,"2,264",Jan-26,CLEMENTI AVENUE 1,Resale,Strata,71,"24,366",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
PARC CLEMATIS,"935,000",452.09,"2,068",Jan-26,JALAN LEMPENG,Resale,Strata,42,"22,262",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
WHISTLER GRAND,"1,988,888",990.29,"2,008",Jan-26,WEST COAST VALE,Resale,Strata,92,"21,618",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
THE PEAK@BALMEG,"3,968,800","2,604.89","1,524",Jan-26,BALMEG HILL,Resale,Strata,242,"16,400",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
CLAVON,"2,228,888",958,"2,327",Jan-26,CLEMENTI AVENUE 1,Resale,Strata,89,"25,044",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,36 to 40
VARSITY PARK CONDOMINIUM,"2,460,000","1,636.13","1,504",Jan-26,WEST COAST ROAD,Resale,Strata,152,"16,184",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
WESTCOVE CONDOMINIUM,"1,690,000","1,539.25","1,098",Jan-26,WEST COAST CRESCENT,Resale,Strata,143,"11,818",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
NORMANTON PARK,"1,325,000",688.9,"1,923",Jan-26,NORMANTON PARK,Sub Sale,Strata,64,"20,703",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
ONE-NORTH EDEN,"3,300,800","1,410.08","2,341",Jan-26,SLIM BARRACKS RISE,Resale,Strata,131,"25,197",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,369,000",656.6,"2,085",Jan-26,NORMANTON PARK,Sub Sale,Strata,61,"22,443",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
ONE-NORTH EDEN,"2,700,888","1,119.46","2,413",Jan-26,SLIM BARRACKS RISE,Resale,Strata,104,"25,970",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
THE SORRENTO,"789,000",441.32,"1,788",Jan-26,WEST COAST ROAD,Resale,Strata,41,"19,244",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE VISION,"1,450,000",904.18,"1,604",Jan-26,WEST COAST CRESCENT,Resale,Strata,84,"17,262",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,06 to 10
PARC RIVIERA,"2,180,000","1,184.04","1,841",Jan-26,WEST COAST VALE,Resale,Strata,110,"19,818",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
THE CASSANDRA,"2,000,000","1,323.97","1,511",Jan-26,PASIR PANJANG ROAD,Resale,Strata,123,"16,260",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
NORMANTON PARK,"918,000",516.67,"1,777",Jan-26,NORMANTON PARK,Sub Sale,Strata,48,"19,125",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
PARC CLEMATIS,"2,300,000",904.18,"2,544",Jan-26,JALAN LEMPENG,Resale,Strata,84,"27,381",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC RIVIERA,"2,110,000","1,151.75","1,832",Jan-26,WEST COAST VALE,Resale,Strata,107,"19,720",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
THE INFINITI,"2,200,000","1,270.15","1,732",Jan-26,WEST COAST PARK,Resale,Strata,118,"18,644",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"2,400,000","1,603.84","1,496",Jan-26,WEST COAST ROAD,Resale,Strata,149,"16,107",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
TWIN VEW,"1,500,000",818.06,"1,834",Jan-26,WEST COAST VALE,Resale,Strata,76,"19,737",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
DOVER PARKVIEW,"1,300,000",968.76,"1,342",Jan-26,DOVER RISE,Resale,Strata,90,"14,444",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,310,000",667.37,"1,963",Jan-26,NORMANTON PARK,Sub Sale,Strata,62,"21,129",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE TRILINQ,"1,890,888","1,108.69","1,706",Jan-26,JALAN LEMPENG,Resale,Strata,103,"18,358",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
KENT RIDGE HILL RESIDENCES,"1,625,000",775.01,"2,097",Jan-26,SOUTH BUONA VISTA ROAD,Resale,Strata,72,"22,569",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
NORMANTON PARK,"2,030,000",947.23,"2,143",Jan-26,NORMANTON PARK,Sub Sale,Strata,88,"23,068",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
THE TRILINQ,"1,860,000",914.94,"2,033",Jan-26,JALAN LEMPENG,Resale,Strata,85,"21,882",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,21 to 25
DOVER PARKVIEW,"1,370,000",936.47,"1,463",Jan-26,DOVER RISE,Resale,Strata,87,"15,747",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
HORIZON RESIDENCES,"2,580,000","1,474.67","1,750",Jan-26,PASIR PANJANG HILL,Resale,Strata,137,"18,832",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,280,000",968.76,"1,321",Jan-26,DOVER RISE,Resale,Strata,90,"14,222",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,405,000",936.47,"1,500",Jan-26,DOVER RISE,Resale,Strata,87,"16,149",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
HERITAGE VIEW,"1,888,000","1,162.51","1,624",Jan-26,DOVER RISE,Resale,Strata,108,"17,481",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
PARC RIVIERA,"815,000",462.85,"1,761",Jan-26,WEST COAST VALE,Resale,Strata,43,"18,953",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
WHISTLER GRAND,"1,255,000",624.31,"2,010",Jan-26,WEST COAST VALE,Resale,Strata,58,"21,638",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
PARC RIVIERA,"781,888",462.85,"1,689",Jan-26,WEST COAST VALE,Resale,Strata,43,"18,183",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
ONE-NORTH RESIDENCES,"3,720,000","2,669.47","1,394",Jan-26,ONE-NORTH GATEWAY,Resale,Strata,248,"15,000",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
NORMANTON PARK,"1,770,000",828.83,"2,136",Jan-26,NORMANTON PARK,Sub Sale,Strata,77,"22,987",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
PASIR VIEW PARK,"2,060,000","1,334.74","1,543",Jan-26,PASIR PANJANG ROAD,Resale,Strata,124,"16,613",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
